epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3675,2.40768,4.14236,1.13554,0,0,0,0,1.60491,4.00797,0.94349,5.001e-05,5.001e-05,5.001e-05
2,22.0985,2.28223,4.1206,1.12362,0.00291,0.01594,0.00011,3e-05,1.44552,3.95708,0.89148,0.00011438,0.00011438,0.00011438
3,30.4108,1.93405,3.67521,0.97261,0.04642,0.24638,0.02355,0.01035,1.40948,3.78969,0.85547,0.000176109,0.000176109,0.000176109
4,38.1278,1.82434,2.91144,0.91722,0.07752,0.4029,0.09233,0.03868,1.41976,3.64844,0.84094,0.000235197,0.000235197,0.000235197
5,45.8123,1.83929,2.18195,0.90793,0.02962,0.13188,0.05713,0.0305,1.48335,3.48901,0.85173,0.000291645,0.000291645,0.000291645
6,53.5716,1.84094,1.87353,0.89565,0.02387,0.10386,0.02628,0.01262,1.42118,3.36164,0.84594,0.000345452,0.000345452,0.000345452
7,61.7461,1.74816,1.66526,0.88242,0.04168,0.20338,0.07939,0.04332,1.53203,3.28381,0.85967,0.000396619,0.000396619,0.000396619
8,69.3973,1.66958,1.46066,0.87648,0.02733,0.1286,0.03142,0.01915,1.67761,3.291,0.87665,0.000445146,0.000445146,0.000445146
9,77.8638,1.62978,1.37204,0.87094,0.04159,0.19275,0.05581,0.03744,1.46306,3.27732,0.86059,0.000491032,0.000491032,0.000491032
10,85.2131,1.54236,1.30437,0.85782,0.0847,0.38444,0.16905,0.10152,1.35381,3.18499,0.84765,0.000534277,0.000534277,0.000534277
11,93.0278,1.56207,1.22925,0.86596,0.11006,0.53333,0.26437,0.15613,1.40365,3.03884,0.85342,0.000574882,0.000574882,0.000574882
12,101.45,1.48043,1.13034,0.86422,0.16467,0.84493,0.58321,0.35381,1.40547,2.5739,0.84788,0.000612846,0.000612846,0.000612846
13,108.142,1.41057,1.02633,0.85231,0.17221,0.88483,0.61991,0.34723,1.44469,2.57879,0.85366,0.00064817,0.00064817,0.00064817
14,115.979,1.38934,1.01533,0.85558,0.16638,0.8571,0.61268,0.36931,1.33862,2.67145,0.84526,0.000680853,0.000680853,0.000680853
15,123.159,1.40055,0.9753,0.84718,0.14953,0.77942,0.50605,0.27545,1.28772,2.82766,0.83318,0.000710895,0.000710895,0.000710895
16,130.771,1.43297,0.9708,0.84243,0.16142,0.82667,0.54216,0.3521,1.21759,2.7429,0.82812,0.000738298,0.000738298,0.000738298
17,137.384,1.3265,0.90377,0.84079,0.17778,0.89217,0.68093,0.41183,1.22834,2.64036,0.82842,0.000763059,0.000763059,0.000763059
18,144.462,1.39124,0.95947,0.83866,0.17358,0.86783,0.63092,0.40133,1.20996,2.66677,0.83017,0.00078518,0.00078518,0.00078518
19,151.356,1.37119,0.92148,0.8431,0.18638,0.92551,0.73255,0.46194,1.24069,2.51756,0.83123,0.000804661,0.000804661,0.000804661
20,159.163,1.37224,0.90279,0.83869,0.18709,0.93179,0.78087,0.51761,1.16734,2.37751,0.8272,0.000821501,0.000821501,0.000821501
21,167.194,1.2955,0.84352,0.83455,0.66521,0.86097,0.77398,0.47368,1.20647,2.30091,0.82296,0.0008357,0.0008357,0.0008357
22,173.943,1.31199,0.83715,0.83195,0.89947,0.51069,0.84004,0.53979,1.16291,2.04878,0.8225,0.000847259,0.000847259,0.000847259
23,181.317,1.31103,0.83161,0.8324,0.89949,0.53528,0.85911,0.54611,1.20687,1.98855,0.82475,0.000856178,0.000856178,0.000856178
24,189.282,1.27327,0.82605,0.83409,0.90073,0.69957,0.89196,0.5954,1.16097,1.78491,0.81943,0.000862456,0.000862456,0.000862456
25,196.191,1.24592,0.78835,0.83301,0.87399,0.76047,0.91754,0.59473,1.19406,1.54661,0.81782,0.000866093,0.000866093,0.000866093
26,203.028,1.2193,0.76548,0.83064,0.84832,0.83061,0.91577,0.61054,1.14112,1.40424,0.81577,0.000841835,0.000841835,0.000841835
27,209.72,1.26589,0.77421,0.83018,0.83075,0.815,0.91043,0.59008,1.17799,1.44433,0.82099,0.000808828,0.000808828,0.000808828
28,217.682,1.21208,0.77003,0.83313,0.8252,0.85068,0.90504,0.54981,1.20018,1.36168,0.82063,0.000775822,0.000775822,0.000775822
29,225.501,1.32003,0.78416,0.83024,0.83745,0.84679,0.9056,0.5807,1.149,1.32507,0.81572,0.000742815,0.000742815,0.000742815
30,234.08,1.23877,0.75953,0.82416,0.84875,0.86025,0.90894,0.61254,1.13736,1.18081,0.81714,0.000709809,0.000709809,0.000709809
31,241.397,1.23088,0.7462,0.83132,0.8949,0.87206,0.90342,0.58741,1.19097,1.05804,0.81993,0.000676802,0.000676802,0.000676802
32,248.128,1.17276,0.72181,0.83194,0.8634,0.88561,0.9013,0.61185,1.14605,1.11107,0.81396,0.000643795,0.000643795,0.000643795
33,255.219,1.21853,0.74632,0.82994,0.86622,0.89519,0.90819,0.59243,1.17701,1.05533,0.81876,0.000610789,0.000610789,0.000610789
34,264.831,1.27569,0.76317,0.82816,0.87422,0.90411,0.9139,0.61891,1.11427,1.01759,0.81436,0.000577782,0.000577782,0.000577782
35,271.833,1.25374,0.74399,0.82128,0.87739,0.8989,0.9093,0.6208,1.11751,0.97756,0.81136,0.000544776,0.000544776,0.000544776
36,278.918,1.24254,0.74401,0.82832,0.87754,0.90796,0.92251,0.63759,1.09476,0.89127,0.81411,0.000511769,0.000511769,0.000511769
37,286.324,1.23303,0.72794,0.82114,0.86684,0.90549,0.92028,0.62771,1.12672,0.87558,0.8162,0.000478762,0.000478762,0.000478762
38,293.712,1.19776,0.69076,0.81924,0.8909,0.87498,0.9161,0.62173,1.12412,0.84197,0.81553,0.000445756,0.000445756,0.000445756
39,300.92,1.19985,0.7032,0.82125,0.88009,0.8721,0.92071,0.62874,1.10347,0.80475,0.81515,0.000412749,0.000412749,0.000412749
40,308.079,1.15843,0.68513,0.82327,0.8721,0.89351,0.92102,0.6223,1.11348,0.79009,0.81397,0.000379743,0.000379743,0.000379743
41,313.248,1.10307,0.71584,0.82405,0.88747,0.87164,0.90905,0.61577,1.11277,0.79318,0.8113,0.000346736,0.000346736,0.000346736
42,318.277,1.07064,0.67897,0.82444,0.84476,0.91768,0.90645,0.60945,1.10996,0.85723,0.81151,0.000313729,0.000313729,0.000313729
43,323.385,1.0379,0.6435,0.82114,0.87305,0.87995,0.92507,0.63271,1.09853,0.85328,0.81223,0.000280723,0.000280723,0.000280723
44,328.397,1.06041,0.63754,0.82532,0.86004,0.88416,0.93118,0.64214,1.09253,0.82907,0.81174,0.000247716,0.000247716,0.000247716
45,333.691,1.04855,0.63746,0.82421,0.85012,0.91324,0.93435,0.64828,1.07335,0.77443,0.80848,0.00021471,0.00021471,0.00021471
46,338.772,1.08591,0.64736,0.82296,0.8203,0.92189,0.93532,0.64737,1.07678,0.77314,0.81058,0.000181703,0.000181703,0.000181703
47,343.782,1.00047,0.60123,0.81621,0.81188,0.9098,0.93423,0.64364,1.09279,0.78336,0.81085,0.000148696,0.000148696,0.000148696
48,348.726,1.04245,0.62095,0.81403,0.81102,0.91699,0.93312,0.64343,1.08929,0.77034,0.81093,0.00011569,0.00011569,0.00011569
49,353.753,1.03306,0.60763,0.82739,0.84758,0.91238,0.93147,0.6456,1.06772,0.74105,0.80856,8.26832e-05,8.26832e-05,8.26832e-05
50,358.776,1.06713,0.63182,0.81349,0.87221,0.90789,0.93162,0.64804,1.06544,0.72664,0.8085,4.96766e-05,4.96766e-05,4.96766e-05
